<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,1,12/23/21,09:20:00,347.0100000,347.0600000,346.8000000,346.8000000,20400
GAZP,1,12/23/21,09:21:00,346.8800000,346.8800000,346.7100000,346.8800000,4070
GAZP,1,12/23/21,09:22:00,346.8400000,346.8800000,346.7400000,346.8800000,16160
GAZP,1,12/23/21,09:23:00,346.8800000,346.8800000,346.7000000,346.8800000,26880
GAZP,1,12/23/21,09:24:00,346.8600000,346.8700000,346.7200000,346.8600000,8430
GAZP,1,12/23/21,09:25:00,346.8000000,346.8000000,346.5100000,346.5300000,27180
GAZP,1,12/23/21,09:26:00,346.6800000,346.6800000,346.4900000,346.5100000,56610
GAZP,1,12/23/21,09:27:00,346.5100000,346.6700000,346.5000000,346.5200000,6270
GAZP,1,12/23/21,09:28:00,346.6500000,346.6500000,346.5000000,346.5000000,9120
GAZP,1,12/23/21,09:29:00,346.5000000,346.6400000,346.4900000,346.6000000,14570
GAZP,1,12/23/21,09:30:00,346.6000000,346.7800000,346.6000000,346.7800000,15850
GAZP,1,12/23/21,09:31:00,346.6600000,346.9700000,346.6200000,346.6200000,17620
GAZP,1,12/23/21,09:32:00,346.7800000,346.9400000,346.7000000,346.8800000,11960
GAZP,1,12/23/21,09:33:00,346.8800000,346.8800000,346.6000000,346.6000000,14830
GAZP,1,12/23/21,09:34:00,346.7600000,346.9600000,346.6000000,346.7600000,35510
GAZP,1,12/23/21,09:35:00,346.9000000,346.9000000,346.6000000,346.7600000,17230
GAZP,1,12/23/21,09:36:00,346.6600000,346.8800000,346.6500000,346.6600000,5570
GAZP,1,12/23/21,09:37:00,346.7600000,346.8700000,346.6600000,346.8700000,6440
GAZP,1,12/23/21,09:38:00,346.8600000,346.8800000,346.7000000,346.8700000,6100
GAZP,1,12/23/21,09:39:00,346.8300000,346.8800000,346.7000000,346.8000000,9800
GAZP,1,12/23/21,09:40:00,346.8000000,346.9800000,346.7500000,346.8800000,18580
GAZP,1,12/23/21,09:41:00,346.9900000,346.9900000,346.8200000,346.9700000,4500
GAZP,1,12/23/21,09:42:00,346.9700000,347.0000000,346.8500000,346.8500000,96890
GAZP,1,12/23/21,09:43:00,346.9800000,347.0000000,346.8500000,346.9600000,22790
GAZP,1,12/23/21,09:44:00,346.9700000,347.0000000,346.8500000,346.9900000,31410
GAZP,1,12/23/21,09:45:00,346.9900000,347.0000000,346.8100000,346.8500000,32630
GAZP,1,12/23/21,09:46:00,346.8500000,346.8500000,346.7000000,346.8300000,19060
GAZP,1,12/23/21,09:47:00,346.8300000,346.8500000,346.7200000,346.8300000,5620
GAZP,1,12/23/21,09:48:00,346.7200000,346.8000000,346.6000000,346.7700000,21180
GAZP,1,12/23/21,09:49:00,346.8000000,346.9800000,346.5800000,346.9200000,37170
GAZP,1,12/23/21,09:50:00,346.9200000,347.0000000,346.8600000,346.9900000,21600
GAZP,1,12/23/21,09:51:00,346.9000000,347.3000000,346.9000000,347.3000000,55860
GAZP,1,12/23/21,09:52:00,347.1600000,347.3000000,347.0700000,347.2900000,17500
GAZP,1,12/23/21,09:53:00,347.1900000,347.2900000,347.0100000,347.0100000,11670
GAZP,1,12/23/21,09:54:00,347.2200000,347.2200000,346.9900000,347.1300000,10690
GAZP,1,12/23/21,09:55:00,347.1300000,347.1300000,346.9200000,347.0000000,10340
GAZP,1,12/23/21,09:56:00,347.1200000,347.2300000,347.0700000,347.1200000,9960
GAZP,1,12/23/21,09:57:00,347.2300000,347.2400000,347.1400000,347.1900000,830
GAZP,1,12/23/21,09:58:00,347.2400000,347.2500000,347.0000000,347.1200000,37810
GAZP,1,12/23/21,09:59:00,347.1200000,347.3000000,347.0100000,347.3000000,40390
GAZP,1,12/23/21,10:00:00,347.1500000,347.4700000,347.0700000,347.4000000,46610
GAZP,1,12/23/21,10:01:00,347.4000000,347.4700000,343.8900000,345.1700000,2149640
GAZP,1,12/23/21,10:02:00,344.9800000,346.0500000,344.9800000,345.8000000,226730
GAZP,1,12/23/21,10:03:00,345.7900000,346.0800000,345.5000000,345.9500000,179980
GAZP,1,12/23/21,10:04:00,345.9500000,346.7900000,345.8900000,346.7400000,213810
GAZP,1,12/23/21,10:05:00,346.7400000,346.8500000,346.3700000,346.5000000,131230
GAZP,1,12/23/21,10:06:00,346.5700000,347.6900000,346.5100000,347.4300000,259910
GAZP,1,12/23/21,10:07:00,347.4300000,348.0000000,347.4300000,347.4900000,182010
GAZP,1,12/23/21,10:08:00,347.6700000,347.9000000,347.4100000,347.5800000,94850
GAZP,1,12/23/21,10:09:00,347.5500000,347.7000000,347.4100000,347.5600000,152960
GAZP,1,12/23/21,10:10:00,347.5600000,347.6000000,346.7900000,346.7900000,121680
GAZP,1,12/23/21,10:11:00,346.8100000,347.1000000,346.5000000,346.8700000,86980
GAZP,1,12/23/21,10:12:00,346.8700000,347.2000000,346.7000000,346.8600000,57130
GAZP,1,12/23/21,10:13:00,346.8600000,346.9100000,346.6200000,346.9100000,18680
GAZP,1,12/23/21,10:14:00,346.8800000,346.9900000,346.6200000,346.9800000,33760
GAZP,1,12/23/21,10:15:00,346.9900000,347.3100000,346.8700000,347.2800000,33220
GAZP,1,12/23/21,10:16:00,347.1600000,347.1600000,346.0600000,346.1000000,156170
GAZP,1,12/23/21,10:17:00,346.1300000,346.3600000,345.8300000,346.3500000,152860
GAZP,1,12/23/21,10:18:00,346.2300000,346.4000000,346.2300000,346.4000000,39190
GAZP,1,12/23/21,10:19:00,346.4000000,346.6800000,346.3500000,346.3500000,12800
GAZP,1,12/23/21,10:20:00,346.5100000,346.5100000,346.1000000,346.1000000,72080
GAZP,1,12/23/21,10:21:00,346.1300000,346.1300000,345.5100000,345.9200000,181310
GAZP,1,12/23/21,10:22:00,345.8000000,345.9300000,345.3400000,345.5100000,120030
GAZP,1,12/23/21,10:23:00,345.5000000,345.5900000,344.7400000,344.8800000,311790
GAZP,1,12/23/21,10:24:00,344.8000000,344.8900000,344.1700000,344.7600000,286460
GAZP,1,12/23/21,10:25:00,344.7300000,345.3400000,344.7300000,345.0700000,114860
GAZP,1,12/23/21,10:26:00,345.1600000,345.2600000,344.3900000,344.6400000,118100
GAZP,1,12/23/21,10:27:00,344.6500000,345.1100000,344.3500000,345.0700000,120080
GAZP,1,12/23/21,10:28:00,345.0700000,345.0700000,344.6400000,344.8200000,52240
GAZP,1,12/23/21,10:29:00,344.9000000,345.2800000,344.7200000,345.0600000,70250
GAZP,1,12/23/21,10:30:00,345.2500000,345.2800000,345.0000000,345.2000000,32090
GAZP,1,12/23/21,10:31:00,345.2900000,345.7900000,345.1200000,345.7900000,76610
GAZP,1,12/23/21,10:32:00,345.7200000,346.0000000,345.5300000,345.8800000,114600
GAZP,1,12/23/21,10:33:00,345.8800000,346.0000000,345.4300000,345.5200000,142470
GAZP,1,12/23/21,10:34:00,345.5400000,345.9300000,345.4000000,345.5500000,58210
GAZP,1,12/23/21,10:35:00,345.5500000,345.6100000,345.2500000,345.5900000,70900
GAZP,1,12/23/21,10:36:00,345.5100000,345.5400000,345.1000000,345.3000000,156230
GAZP,1,12/23/21,10:37:00,345.2600000,345.4100000,345.0000000,345.4000000,151330
GAZP,1,12/23/21,10:38:00,345.3500000,345.4000000,345.0000000,345.3600000,592510
GAZP,1,12/23/21,10:39:00,345.3000000,345.3800000,345.2000000,345.2700000,33180
GAZP,1,12/23/21,10:40:00,345.3000000,345.4600000,345.1100000,345.1100000,46400
